county,amount
Alameda,814009
Alpine,764
Amador,20798
Butte,117503
Calaveras,27068
Colusa,7595
Contra Costa,527521
Del Norte,12750
El Dorado,106931
Fresno,416433
Glenn,12034
Humboldt,76008
Imperial,59149
Inyo,9500
Kern,332228
Kings,48251
Lake,33489
Lassen,12895
Los Angeles,4897915
Madera,52494
Marin,148976
Mariposa,10501
Mendocino,47502
Merced,95452
Modoc,5195
Mono,5812
Monterey,165731
Napa,70493
Nevada,61690
Orange,1424216
Placer,200422
Plumas,11831
Riverside,891575
Sacramento,683632
San Benito,24251
San Bernardino,851684
San Diego,1546924
San Francisco,433844
San Joaquin,297425
San Luis Obispo,150139
San Mateo,355598
Santa Barbara,196998
Santa Clara,805502
Santa Cruz,142316
Shasta,97933
Sierra,2229
Siskiyou,24840
Solano,200147
Sonoma,244448
Stanislaus,214209
Sutter,41608
Tehama,30169
Trinity,7213
Tulare,137695
Tuolumne,29274
Ventura,433064
Yolo,101032
Yuba,26918
